Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,i360,,,,"2300 Clarendon Blvd, Suite 800",Arlington,VA,22203,,15.0,3,Data,Support Barry Usher,PM,,,data,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Drogin Group,,,,6705 W Hwy 290 Suite 50281,Austin,TX,78735,,1800.0,3,website production/hosting,Support Barry Usher,PM,online,,website production/hosting,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Fox Television Stations LLC,,,,"1211 Avenue of the Americas, Suite 302",New York,NY,10036,,8200.0,3,Online Advertising,Support Barry Usher,PM,Fox TV,,online advertising ,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Trade Desk,,,,"2710 Media Center Dr, Bldg 6",Los Angeles,CA,90065,,3000.0,3,Online Advertising,Support Barry Usher,PM,online,,online advertising ,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Meta,,,,1601 Willow Road,Menlo Park,CA,94025,,500.0,3,Digital Advertising,Support Barry Usher,PM,Facebook,,digital advertising,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-17 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3662.0,3,Mail production/postage,Support Barry Usher,PM,Mail,"4,944",Mail production/postage,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-10 00:00:00,Whistlestop Strategies LLC,,,,"100 Coastal Drive, Suite 305",Charleston,SC,29492,,3662.0,3,Mail production/postage,Support Barry Usher,PM,Mail,"4,944",Mail production/postage,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-10 00:00:00,"Darby House, LLC",,,,"4201 Wilson Blvd, Suite 110-126",Arlington,VA,22203,,2315.0,3,Digital Placement/Production,Support Barry Usher,PM,Digital,2 ads + digital placement,Digital Placement/Production,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-24 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,3662.0,3,Mail production/postage,Support Barry Usher,PM,Mail,"4,944",Mail production/postage,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
School Freedom Fund,04/07/2026 to 04/25/2026,C6,2026-04-07 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,22202,,3662.0,3,Mail production/postage,Support Barry Usher,PM,mail,"4,944",Mail production/postage,N,,,,,,,,BARRY USHER,SENATE DISTRICT 19,REP,STATE SENATOR DISTRICT 19
