Committee,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Expenditure Type,Purpose,Candidate Issue,Election Type,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Column 1,Column 2
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-17 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,2570.1,3,"Linda Reksten Voted to send tax dollars to DEI, notepad.",,PM,Mailer-HD13,"HD13-2500 printed, 1986 mailed & postage.","Design, Printing, Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,8061.95,3,Vote to raise gas tax mailer Jones SD9 $4087.85; Positive mailer Lentz SD25 $3974.10,Jones SD9; Lentz SD25,PM,Postcard Mailer,"(Jones 5000 printed, 4251 mailed & postage) (Lentz 5000 printed, 3926 mailed & postage)","Design, Printing, Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9229.45,3,Positive mailer Warden HD13 $2570.10; Votes on DEI Bedey SD43 $4129.15; Positive mailer Chamberlin HD68 $2530.20,Warden HD13; Bedey SD43; Chamberlin HD68,PM,Postcard Mailer,"(Warden HD13 2500 printed, 1986 mailed & postage) (Bedey SD43 5000 printed, 4369 mailed & postage) (Chamberlin 2500 printed, 1872 mailed & postage)","Design, Printing, Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,79200,3,"Rep. Jones video explaining voted tax dollars to DEI initiatives, queer history panel, sex changes",,PM,TV Media Buy-SD9,SD9-Great Falls-2000 Gross Rating Points Apr 22-May 19,"Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,46340.99,3,"Video explaining Llew Jones vote for tax dollars to DEI initiatives, queer history panel, sex changes",Jones SD9,PM,Streaming-SD9,"SD9-Great Falls & Helena, 990,500 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,39826.23,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Streaming-SD11,"SD11-Great Falls, 864,360 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,23920.54,3,"Video explaining Jennifer Carlson's vote for tax dollars to fund groups that hosted, Transgender art projects, hosted workshop on queer history.",Carlson HD 68,PM,Streaming-HD68,"HD68-Butte & Bozeman, 447,720 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,37733.9,3,"Video explaining Eric Albus vote for tax dollars to fund DEI and gender neutral pronouns, Transgender art projects, hosted workshop on queer history.",Albus SD14,PM,Streaming-SD14,"SD14-Great Falls, 916,895 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,FIrst Bank of Montana,,,FIrst Bank of Montana,224 W. Main St.,Lewistown,MT,59457,,20,3,wire fee for donation,,PM,,,,N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,40616,3,"Radio ads explaining Llew Jones vote for tax dollars to DEI initiatives, queer history panel, sex changes",Jones SD9,PM,Radio Media Buy-SD9,"SD9-Shelby & Rural, 240 broadcast spots, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,77950,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,TV Media Buy-SD11,"SD11-Great Falls, 2000 Gross Rating Points, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,31408.05,3,"Video explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Cable TV Media Buy-SD11,"SD11-Great Falls, 280 spots, April 22-May 19","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,20778.9,3,"Radio ads explaining Eddie Buttery vote for tax dollars to DEI initiatives, queer history panel, obscene material to minors.",Buttery SD11,PM,Radio Media Buy-SD11,"SD11-Great Falls, 170 broadcast spots, April 22-June 2","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,58471.76,3,"Video explaining David Bedey's vote for tax dollars to fund DEI, Transgender art projects, queer panel, Obamacare that funds transgender services.",Bedey SD43,PM,Streaming-SD43,"SD43-Missoula, 1,291,248 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,12178,3,"Radio ads explaining Eric Albus vote for tax dollars to fund DEI & gender neutral pronouns, Transgender art projects, hosted workshop on queer history",Albus SD14,PM,Radio Media Buy-SD14,"SD14-Rural Great Falls, 180 spots, April 22-June 2","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-14 0:00:00,GRP,,,GRP Buying LLC,"3136 Kingsdale Center, #136",Upper Arlington,OH,43221,,28178.69,3,"Video explaining Linda Reksten's vote for tax dollars to fund groups that hosted, Transgender art projects, hosted workshop on queer history.",Reksten HD13,PM,Streaming-HD13,"HD13-Missoula, 577,416 Impressions, April 15-June 2","Design, Production, Ad Placement",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-13 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9188.15,3,"(Jones, vote to raise gas tax SD9 $4087.85) (Reksten HD13 Vote DEI $2570.10) (Carlson HD68 Vote DEI $2530.20)","Jones SD9,  Reksten HD 13,  Carlson HD68",PM,Mailer,"(5000 printed SD9, 4251 mailed & postage) (2500 printed SD13, 1986 mailed & postage) (2500 printed SD68, 1872 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-13 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,10984.49,3,(Voting record DEI SD43 $4129.25) (Voting record DEI SD14 $3864.26) (Voting record DEI SD11 $2991.08),Bedey SD43; Albus SD14; Buttrey SD11,PM,Mailer,"(5000 printed SD43, 4369 mailed & postage) (3637 printed SD14, 3637 mailed & postage) (2746 printed SD11, 2746 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,
Accountability In State Government,03/26/2026 to 04/25/2026,C6,2026-04-10 0:00:00,Resolve Campaigns LLC,,,,6104 Old Fredericksburg RD,Austin,TX,78749,,9188.15,3,(Exposing voting record Jones SD9 $4087.85) (Positive Warden HD13 $2570.10) (Positive Chamberlin HD68 $2530.20),Jones SD9; Warden HD13; Chamberlin HD68,PM,Mailer,"(SD9 5000 printed, 4251 mailed & postage) (HD13 2500 printed, 1986 mailed & postage) (HD68 2500 printed, 1872 mailed & postage)","Design, Printing & Postage",N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-25 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,1000,2,Video explaining Rep. Sprunger's vote to raise taxes on Flathead valley businesses,,PM,Facebook,"30,257 views to date ",Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-14 0:00:00,Red Door Media,,,,1345 Lariat Road,Helena,MT,59602,,7050,2,Creation and placement of all video and static ads for Jan1- March 25th,,PM,Red Door Media,16 videos- McKamey Ethics Video-Vance Ethics Video-Kassmier Ethics Video-LlewEthics Video-Barker Border Security Video-Bedey Border Security Video- Fitz Border Security Video-Reksten Border Security Video-Ken Walsh Border Security Video-Niko Border Security Video-Valerie Moore Prop Tax Video-Lyn Failed Video - Lyn Good Video- Courtney Contract Video- Binkley Video-,Video creation,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-12 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,740.75,2,Video explaining Rep. Lyn Bennett's vote to shift property tax to Flathead businesses,,PM,Google,"36,299 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-12 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,737.51,2,Video explaining former Rep. Wayne Rusk's vote against right to hunt and fish.,,PM,google,"18,978 engagements ",Google Ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-11 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,1473.22,2,Texting informing Flathead valley of Rep. Sprunger's company's $9m contract with DOT and her carrying their funding bill that she possibly benefits,,PM,Texting,"14,733 texts ",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-10 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,466.8,2,Video explaining former Rep. Wayne Rusk vote against hunting and fishing,,PM,Facebook,"28,008 views ",Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-10 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,475.52,2,Video explaining Rep. Bennett's vote to raise property tax on Flathead businesses,,PM,Facebook,"62,680 views ",Facebook boost,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-05 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,499.98,2,Video explaining former Rep. Brinkley's vote to allow obscene material in tax funded buildings,,PM,google,"18,678 engagements ",Google Ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-03-01 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,500.75,2,Video explaining former Rep. Brinkley's vote to allow obscene material in tax funded buildings,,PM,Facebook,124K views,Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-28 0:00:00,FACEBOOK,,,,1 Hacker Way,Menlo Park,CA,94025,,984.86,2,Video explaining Rep. Sprunger's $9m contract with the department she carried a $100m funding bill,,PM,Facebook,132.6K views,Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-28 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,991.31,2,Video explaining Rep. Sprunger's $9m personal contract with the same department she carried $100m funding bill.,,PM,google,"83,425 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-12 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,459.44,2,Texting informing of Sen. Vance protecting criminally charged Sen. Ellsworth,,PM,Texting,"4,043 texts",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-12 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,548.08,2,Text campaign informing district of Sen. McKamey protecting criminally indicted Sen. Ellsworth,,PM,Texting,"4,216 texts sent ",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-10 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,499.95,2,Video explaining Rep. Moore's vote to shift property tax to Ag,,PM,Google Ads,"5,153 engagements ",Google ads placement,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-10 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,482.58,2,Video explaining Rep. Moore to shift tax to Ag as stated by Stock growers,,PM,Facebook,"72,669 views ",Facebook Boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-09 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,229.98,2,"Data purchase for text numbers for driver's privilege text for, Bedey, Nilolakakos, Barker, Walsh, Reksten, Fitzpatrick ",,PM,Texting,"11,499 data numbers ",texting numbers,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-09 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,114.24,2,Texting informing HD 76 of Rep. Fitzpatrick's  vote to allow for drivers privilege cards for illegal immigrants,,PM,Texting,"1,428 texts ",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-09 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,123.76,2,Texting informing HD 13 of Rep. Reksten's vote to allow for drivers privilege cards for illegal immigrants,,PM,Texting,"1,547 texts ",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-09 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,93.68,2,Texting informing HD 69 of Rep. Walsh's vote to allow for drivers privilege cards for illegal immigrants,,PM,Texting,"1,171 texts ",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-09 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,108.64,2,Texting informing HD 55 of Rep. Baker's vote to allow for drivers privilege cards for illegal immigrants,,PM,Texting,"1,358 texts ",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-09 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,192.96,2,Texting informing SD 11 of Rep. Nikolakakos vote to allow for drivers privilege cards for illegal immigrants,,PM,Texting,"2,412 texts ",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-09 0:00:00,Advantage Inc,,,,"9420 Bonita Beach Road, SE, Suite 200",Bonita Springs,FL,34135,,270.8,2,Texting informing SD 43 of Rep. Bedey's vote to allow for drivers privilege cards for illegal immigrants,,PM,Texting,"3,385 texts ",Texting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-08 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,500.58,2,Video explaining Rep. G. Nikolakakas vote to give drivers privilege cards to illegals,,PM,Google,"23,863 engagements ",Google Ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-08 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,1000.58,2,Video explaining Rep. Walsh's vote to give drivers privilege cards to illegals,,PM,Google,"40,381 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-08 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,487.34,2,Video explaining Rep Walsh vote to give illegals drivers privilege cards.,,PM,Facebook,119.2K views,Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-08 0:00:00,FACEBOOK,,,,1 Hacker Way,Menlo Park,CA,94025,,487.34,2,Video explaining Rep. G. Nikolakakos vote to give illegals drivers privilege cards,,PM,Facebook,"63,003 views ",Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-07 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,1000.87,2,Video explaining Rep. Reksten's vote to give drivers privilege cards to illegals,,PM,Google,"53,178 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-07 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,1000.66,2,Video explaining Rep. John Fitzpatrick's vote to give drivers privilege cards to illegals,,PM,Google,"51,079 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-07 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,978.05,2,Video explaining Rep. Reksten vote to give illegals drivers privilege cards,,PM,Facebook,130.4K views,Facebook Boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-07 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,977.9,2,Video explaining Rep. Fitzpatrick vote to give illegals drivers privilege cards,,PM,Facebook,119.5K views,Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-06 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,1469.95,2,Video explaining Rep. Bedey vote to give illegals drivers privilege cards.,,PM,Facebook,190K views,Facebook boost,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-06 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,1500.86,2,video explaining Rep. Bedey's vote to give drivers privilege cards to illegals,,PM,google,"30,228 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-02 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,946.42,2,Video explaining Sen Kassmier's vote to protect criminally indicted Sen. Ellsworth,,PM,Google,"71,521 engagements ",Googles Ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-02 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,1000.71,2,Video explaining Rep. Baker's vote to give a drivers privilege card to illegals,,PM,Google,"37,257 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-02 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,1195.57,2,Video explaining Sen. Kassmier's support of criminally indicted Sen. Ellsworth,,PM,Facebook,157.1K views,Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-02 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,980.82,2,Video explaining Rep. Bakers vote for drivers privilege cards to illegals,,PM,Facebook,152.2K views,Facebook Boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-01 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,802.74,2,Video explaining Sen. Vance support of criminally indicted Sen. Ellsworth,,PM,Facebook,120.9K views,Facebook boost,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-01 0:00:00,FACEBOOK,,,,1 Hacker Way,Menlo Park,CA,94025,,102.39,2,"Static ad, support Sen Usher, he does what he says he will do ",,PM,Facebook,"6,124 views ",Facebook Boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-01 0:00:00,FACEBOOK,,,,1 Hacker Way,Menlo Park,CA,94025,,686.55,2,Video explaining Rep. Jones support of incompetent tax shift legislation,,PM,Facebook,110.8K views,Facebook Boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-01 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,1209.1,2,Video explaining Sen. Vance vote to protect criminally indicted Sen. Ellsworth,,PM,google,"109,620 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-01 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,1099.52,2,Video explaining Rep. Llew Jones pushing through a state grant that his wife ended up receiving.,,PM,Google,"120,678 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-01 0:00:00,Facebook,,,,1 Hacker Way," Menlo Park,",CA,94025,,1064.78,2,Video explaining Rep. Jones pushing a grant that is wife then received as reported by Flathead Beacon,,PM,Facebook,146.1K views,Facebook Boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-02-01 0:00:00,FACEBOOK,,,,1 Hacker Way,Menlo Park,CA,94025,,368.18,2,Video explaining Sen. Vance's support of criminally indicted Sen. Ellsworth,,PM,Facebook,"19,491 views ",Facebook boosting,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-01-30 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,750.81,2,Video explaining Rep. Jones sponsored property tax shift to Ag,,PM,Google,"8,327 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-01-30 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,205.23,2,"Static Ad support Sen. Usher, promises kept",,PM,google,"27,820 engagements ",Google ads,N,,,,,,,,,
Accountability In State Government,01/01/2026 to 03/25/2026,C6,2026-01-30 0:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,698.59,2,Video explaining Sen. Kassmier's vote to shift property tax to commercial and Ag.,,PM,google,"60,622 engagements ",Google Ads,N,,,,,,,,,
